序号,品牌名称,评分,类目,是否支持贴牌,描述
1,珀莱雅 PROYA,4.8,美妆护肤,是,国货美妆龙头，主营护肤品
2,自然堂 CHANDO,4.7,美妆护肤,是,伽蓝集团旗下品牌
3,百雀羚,4.6,美妆护肤,是,经典国货护肤品牌
4,御泥坊,4.5,美妆护肤,是,泥浆面膜知名品牌
5,卡姿兰 CARSLAN,4.6,美妆护肤,是,专业彩妆品牌
6,海澜之家 HLA,4.5,服饰鞋包,是,男装国民品牌
7,太平鸟 PEACEBIRD,4.6,服饰鞋包,是,时尚服饰品牌
8,安踏 ANTA,4.8,服饰鞋包,是,运动品牌龙头
9,李宁 LI-NING,4.7,服饰鞋包,是,专业运动品牌
10,回力 Warrior,4.5,服饰鞋包,是,经典国货鞋履
11,水星家纺 MERCURY,4.8,家居家纺,是,家纺行业龙头
12,罗莱家纺 LUOLAI,4.7,家居家纺,是,高端家纺品牌
13,富安娜 FUANNA,4.6,家居家纺,是,艺术家纺品牌
14,恒源祥,4.5,家居家纺,是,中华老字号家纺
15,百草味,4.5,食品饮料,是,休闲零食品牌
16,babycare,4.7,母婴用品,是,母婴用品品牌
17,好孩子 gb,4.6,母婴用品,是,婴童用品龙头
18,小熊电器 Bear,4.5,数码家电,是,创意小家电
19,罗马仕 ROMOSS,4.6,数码家电,是,移动电源品牌
20,绿联 UGREEN,4.7,数码家电,是,数码配件品牌
